ASIN,Category,Title,Rating,Avg_Reviews,Rating_Fill,Avg_Price
B009VOFRYU,Computers/Accessories,Apple 60W MagSafe 2 Power Adapter (for MacBook Pro with 13-inch Retina display),4.7,901,53.99,53.99
B08GLJ3BQ3,Movies & TV,Trump Card,4.7,664,19.99,19.99
B002G9UDYG,Fashion,Carhartt Men's Acrylic Watch Hat A18,4.8,40824,15.98,15.98
B0757RXZJH,Fashion,Dickies Men's Dri-tech Moisture Control Crew Socks Multipack,4.7,52579,12.98,12.98
B07CPJYR3G,Movies & TV,HOCUS POCUS,4.8,32761,6.54,6.54
B0169P8XNU,Fashion,Hanes Women’s EcoSmart Sweatpant – Regular and Petite Lengths,4,13644,7.16,7.16
B0839NDRB2,Computers/Accessories,"All-new Fire HD 8 Plus tablet, HD display, 32 GB, our best 8 tablet for portable entertainment,…",4.5,6788,109.99,109.99
B06ZZLK2WP,Fashion,Hanes Men's Long Sleeve Cool Dri T-Shirt UPF 50+ (Pack of 2),4.5,25809,14.84,14.84
B0872FYTWS,Amazon Devices,"All-New Toshiba 32LF221U21 32-inch Smart HD 720p TV - Fire TV Edition, Released 2020",4.6,2662,131.42,131.42
B07FZ8S74R,Amazon Devices,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,4.7,675319,23.7,23.7
B079V3BXD7,Toys & Games,"Crayola Scribble Scrubbie Pets Scrub Tub Animal Toy Set, Gift for Kids, Ages 3, 4, 5, 6",4.6,5680,16.04,16.04
B08F6JZBRK,Movies & TV,The Crown - Season 03,4.6,3,25.98,25.98
B07ZZVX1F2,Amazon Devices,All-new Fire TV Stick with Alexa Voice Remote (includes TV controls) | HD streaming device |…,4.7,3608,33.13,33.13
B07FDQRKCR,Movies & TV,Hereditary [Blu-ray + DVD + Digital],4.7,1652,5,5
B07Y94W69D,Toys & Games,Hot Wheels City Robo T-Rex Ultimate Garage Multi-Level Multi-Play Mode Stores 100 Plus…,4.8,150,89.66,89.66
B07Z99PYXP,Computers/Accessories,"[Upgraded 2020] Surface Pro Charger 65W, Compatible with Surface Pro 3/4/5/6/7 Power…",4.6,2705,26.95,26.95
B07XKF5RM3,Amazon Devices,"All-new Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",4.4,171,99.99,99.99
B07BLJ4MD7,Movies & TV,I Can Only Imagine,4.9,10460,5,5
B07BKR36D8,Fashion,RockDove Men's Original Two-Tone Memory Foam Slipper,4.4,44289,21.99,21.99
B01GPY9AOQ,Computers/Accessories,DJW 19.5V 2.31A 45W Ac Adapter/Power Cord Supply for HP Pavilion 11 13 15;HP elitebook…,4.6,3255,14.32,14.32
